k,patterns,algorithm,mode,run,iterations,banks,sequences_per_bank,sequence_length,target_bases_per_cell,bases,build_ns,search_ns,total_ns,fixed_ns_per_matcher,build_ns_per_matcher,search_ns_per_base,reference_total_ns,reference_ns_per_base,validation_checksum,matching_records,matches,timed_checksum
11,6,hash,all,4,1,43,15504,150,100000000,100000800,28125,263081708,263114500,762.605,654.070,2.630796034,263082470.605,2.630803660,9540962536298771519,333409,333468,9540962536298771519
11,6,aho_corasick,all,0,1,43,15504,150,100000000,100000800,953125,129382000,130355375,22636.628,22165.698,1.293809650,129404636.628,1.294036014,9540962536298771519,333409,333468,9540962536298771519
11,6,aho_corasick,all,1,1,43,15504,150,100000000,100000800,912083,125556125,126491000,21741.279,21211.233,1.255551206,125577866.279,1.255768617,9540962536298771519,333409,333468,9540962536298771519
11,6,aho_corasick,all,2,1,43,15504,150,100000000,100000800,874167,125681834,126578917,20862.395,20329.465,1.256808286,125702696.395,1.257016908,9540962536298771519,333409,333468,9540962536298771519
11,6,aho_corasick,all,3,1,43,15504,150,100000000,100000800,912208,130725833,131659250,21707.372,21214.140,1.307247872,130747540.372,1.307464944,9540962536298771519,333409,333468,9540962536298771519
11,6,aho_corasick,all,4,1,43,15504,150,100000000,100000800,1003000,127054917,128086583,23992.233,23325.581,1.270539006,127078909.233,1.270778926,9540962536298771519,333409,333468,9540962536298771519
11,6,bndmq,all,0,1,43,15504,150,100000000,100000800,83917,130687334,130774667,2031.000,1951.558,1.306862885,130689365.000,1.306883195,9540962536298771519,333409,333468,9540962536298771519
11,6,bndmq,all,1,1,43,15504,150,100000000,100000800,69000,131940542,132012834,1681.209,1604.651,1.319394865,131942223.209,1.319411677,9540962536298771519,333409,333468,9540962536298771519
11,6,bndmq,all,2,1,43,15504,150,100000000,100000800,85667,134396750,134485459,2063.000,1992.256,1.343956748,134398813.000,1.343977378,9540962536298771519,333409,333468,9540962536298771519
11,6,bndmq,all,3,1,43,15504,150,100000000,100000800,44333,158917417,158966250,1135.651,1031.000,1.589161457,158918552.651,1.589172813,9540962536298771519,333409,333468,9540962536298771519
11,6,bndmq,all,4,1,43,15504,150,100000000,100000800,42292,127524709,127569375,1038.744,983.535,1.275236888,127525747.744,1.275247275,9540962536298771519,333409,333468,9540962536298771519
112,128,hash,all,0,1,2,333334,150,100000000,100000200,35167,194682792,194722417,19812.500,17583.500,1.946824026,194702604.500,1.947022151,625418562388938944,333334,333334,625418562388938944
112,128,hash,all,1,1,2,333334,150,100000000,100000200,34000,191111083,191147750,18333.500,17000.000,1.911107008,191129416.500,1.911290342,625418562388938944,333334,333334,625418562388938944
112,128,hash,all,2,1,2,333334,150,100000000,100000200,31041,192649000,192683208,17104.000,15520.500,1.926486147,192666104.000,1.926657187,625418562388938944,333334,333334,625418562388938944
112,128,hash,all,3,1,2,333334,150,100000000,100000200,37833,191069500,191109833,20166.500,18916.500,1.910691179,191089666.500,1.910892843,625418562388938944,333334,333334,625418562388938944
112,128,hash,all,4,1,2,333334,150,100000000,100000200,31334,190726083,190760334,17125.500,15667.000,1.907257015,190743208.500,1.907428270,625418562388938944,333334,333334,625418562388938944
112,128,aho_corasick,all,0,1,2,333334,150,100000000,100000200,6397250,193482000,199935416,3226708.000,3198625.000,1.934816130,196708708.000,1.967083146,625418562388938944,333334,333334,625418562388938944
112,128,aho_corasick,all,1,1,2,333334,150,100000000,100000200,6381667,191183292,197615167,3215937.500,3190833.500,1.911829096,194399229.500,1.943988407,625418562388938944,333334,333334,625418562388938944
112,128,aho_corasick,all,2,1,2,333334,150,100000000,100000200,6396083,195441417,201890292,3224437.500,3198041.500,1.954410261,198665854.500,1.986654572,625418562388938944,333334,333334,625418562388938944
112,128,aho_corasick,all,3,1,2,333334,150,100000000,100000200,6297042,195363208,201694000,3165396.000,3148521.000,1.953628173,198528604.000,1.985282069,625418562388938944,333334,333334,625418562388938944
112,128,aho_corasick,all,4,1,2,333334,150,100000000,100000200,6901834,208118792,215068167,3474687.500,3450917.000,2.081183758,211593479.500,2.115930563,625418562388938944,333334,333334,625418562388938944
112,256,aho_corasick,all,0,1,1,666668,150,100000000,100000200,8105625,223169000,231334167,8165167.000,8105625.000,2.231685537,231334167.000,2.313337043,18312270484892554426,333334,333334,18312270484892554426
112,256,aho_corasick,all,1,1,1,666668,150,100000000,100000200,6869125,233809958,240740584,6930626.000,6869125.000,2.338094904,240740584.000,2.407401025,18312270484892554426,333334,333334,18312270484892554426
112,256,aho_corasick,all,2,1,1,666668,150,100000000,100000200,7705750,267509791,275266667,7756876.000,7705750.000,2.675092560,275266667.000,2.752661165,18312270484892554426,333334,333334,18312270484892554426
