k,patterns,algorithm,mode,status,wall_ms,detail
8,5623,aho_corasick,first,ok,469,
8,5623,hash,first,ok,443,
8,5623,bndmq,first,timed_out,13447,
8,6,aho_corasick,first,ok,617,
8,6,bndmq,first,ok,812,
8,6,hash,first,ok,967,
80,152,hash,first,ok,1577,
80,152,bndmq,first,invalid,0,BNDMq limit is 64 bytes
80,152,aho_corasick,first,ok,1112,
80,181,bndmq,first,invalid,0,BNDMq limit is 64 bytes
80,181,aho_corasick,first,ok,1423,
80,181,hash,first,ok,2229,
80,3,aho_corasick,first,ok,1887,
80,3,bndmq,first,invalid,0,BNDMq limit is 64 bytes
80,3,hash,first,ok,1567,
80,360,hash,first,ok,2156,
80,360,aho_corasick,first,ok,1421,
80,360,bndmq,first,invalid,0,BNDMq limit is 64 bytes
80,45,hash,first,ok,2417,
80,45,bndmq,first,invalid,0,BNDMq limit is 64 bytes
80,45,aho_corasick,first,ok,952,
80,506,hash,first,ok,1568,
80,506,bndmq,first,invalid,0,BNDMq limit is 64 bytes
80,506,aho_corasick,first,ok,1712,
80,54,bndmq,first,invalid,0,BNDMq limit is 64 bytes
80,54,aho_corasick,first,ok,902,
80,54,hash,first,ok,2542,
84,256,bndmq,first,invalid,0,BNDMq limit is 64 bytes
84,256,aho_corasick,first,ok,1174,
84,256,hash,first,ok,1018,
88,256,bndmq,first,invalid,0,BNDMq limit is 64 bytes
88,256,hash,first,ok,1186,
88,256,aho_corasick,first,ok,1448,
88,32,bndmq,first,invalid,0,BNDMq limit is 64 bytes
88,32,hash,first,ok,1563,
88,32,aho_corasick,first,ok,1269,
88,91,aho_corasick,first,ok,1313,
88,91,bndmq,first,invalid,0,BNDMq limit is 64 bytes
88,91,hash,first,ok,1843,
92,32,bndmq,first,invalid,0,BNDMq limit is 64 bytes
92,32,hash,first,ok,988,
92,32,aho_corasick,first,ok,839,
96,23,bndmq,first,invalid,0,BNDMq limit is 64 bytes
96,23,aho_corasick,first,ok,1212,
96,23,hash,first,ok,2218,
96,27,hash,first,ok,2147,
96,27,bndmq,first,invalid,0,BNDMq limit is 64 bytes
96,27,aho_corasick,first,ok,1340,
96,3,hash,first,ok,1071,
96,3,aho_corasick,first,ok,2027,
96,3,bndmq,first,invalid,0,BNDMq limit is 64 bytes
