wave,axis,k,patterns,mode,lower_k,upper_k,lower_patterns,upper_patterns,lower_algorithm,upper_algorithm,complete
1,k,65,4,all,64,80,4,4,bndmq,hash,yes
1,k,65,4,first,64,80,4,4,bndmq,hash,yes
1,k,65,8,all,64,80,8,8,bndmq,hash,yes
1,k,65,8,first,64,80,8,8,bndmq,hash,yes
1,k,65,16,all,64,80,16,16,bndmq,hash,yes
1,k,65,16,first,64,80,16,16,bndmq,hash,yes
1,k,65,32,all,64,80,32,32,bndmq,hash,yes
1,k,112,1,all,96,128,1,1,aho_corasick,hash,yes
1,k,120,1,all,112,128,1,1,aho_corasick,hash,yes
1,k,124,1,all,120,128,1,1,aho_corasick,hash,yes
