k,q,mode,run,iterations,patterns,sequences_per_pattern,sequence_length,bases,elapsed_ns,ns_per_base,checksum
5,4,all,1,2,256,512,150,39321600,26522625,0.674505234,9724898
5,5,all,1,1,256,512,150,19660800,27222416,1.384603678,4862449
5,2,all,1,2,256,512,150,39321600,33501375,0.851984024,9724898
5,3,all,1,2,256,512,150,39321600,22953417,0.583735580,9724898
5,1,all,1,1,256,512,150,19660800,26282417,1.336792857,4862449
5,4,all,2,2,256,512,150,39321600,26620083,0.676983719,9724898
5,3,all,2,2,256,512,150,39321600,23007000,0.585098267,9724898
5,2,all,2,2,256,512,150,39321600,33080875,0.841290156,9724898
5,5,all,2,1,256,512,150,19660800,27279541,1.387509206,4862449
5,1,all,2,1,256,512,150,19660800,26292333,1.337297211,4862449
5,3,all,3,2,256,512,150,39321600,23293250,0.592377981,9724898
5,2,all,3,2,256,512,150,39321600,34765750,0.884138743,9724898
5,1,all,3,1,256,512,150,19660800,26465083,1.346083730,4862449
5,5,all,3,1,256,512,150,19660800,27415125,1.394405365,4862449
5,4,all,3,2,256,512,150,39321600,26912333,0.684416021,9724898
5,5,all,4,1,256,512,150,19660800,29216334,1.486019592,4862449
5,4,all,4,2,256,512,150,39321600,26763166,0.680622508,9724898
5,3,all,4,2,256,512,150,39321600,23218833,0.590485458,9724898
5,1,all,4,1,256,512,150,19660800,26218042,1.333518575,4862449
5,2,all,4,2,256,512,150,39321600,33258292,0.845802104,9724898
5,4,all,5,2,256,512,150,39321600,26748375,0.680246353,9724898
5,3,all,5,2,256,512,150,39321600,23224917,0.590640182,9724898
5,1,all,5,1,256,512,150,19660800,26362750,1.340878805,4862449
5,5,all,5,1,256,512,150,19660800,27397083,1.393487701,4862449
5,2,all,5,2,256,512,150,39321600,33198417,0.844279404,9724898
5,3,all,6,2,256,512,150,39321600,22957250,0.583833059,9724898
5,2,all,6,2,256,512,150,39321600,33087625,0.841461817,9724898
5,4,all,6,2,256,512,150,39321600,27453709,0.698183924,9724898
5,1,all,6,1,256,512,150,19660800,26610375,1.353473663,4862449
5,5,all,6,1,256,512,150,19660800,27797292,1.413843384,4862449
5,4,all,7,2,256,512,150,39321600,27190708,0.691495463,9724898
5,1,all,7,1,256,512,150,19660800,26797042,1.362968038,4862449
5,5,all,7,1,256,512,150,19660800,27822500,1.415125529,4862449
5,2,all,7,2,256,512,150,39321600,33884500,0.861727397,9724898
5,3,all,7,2,256,512,150,39321600,23343041,0.593644231,9724898
5,2,all,8,2,256,512,150,39321600,34177125,0.869169235,9724898
5,1,all,8,1,256,512,150,19660800,26671291,1.356572011,4862449
5,4,all,8,2,256,512,150,39321600,27154417,0.690572535,9724898
5,3,all,8,2,256,512,150,39321600,23336000,0.593465169,9724898
5,5,all,8,1,256,512,150,19660800,27649667,1.406334788,4862449
5,4,all,9,2,256,512,150,39321600,27145125,0.690336227,9724898
5,3,all,9,2,256,512,150,39321600,23533166,0.598479360,9724898
5,5,all,9,1,256,512,150,19660800,27776417,1.412781626,4862449
5,2,all,9,2,256,512,150,39321600,33959417,0.863632634,9724898
5,1,all,9,1,256,512,150,19660800,26738875,1.360009511,4862449
5,3,all,10,2,256,512,150,39321600,23413834,0.595444590,9724898
5,4,all,10,2,256,512,150,39321600,27109375,0.689427058,9724898
5,1,all,10,1,256,512,150,19660800,26667916,1.356400350,4862449
5,2,all,10,2,256,512,150,39321600,33653791,0.855860163,9724898
5,5,all,10,1,256,512,150,19660800,27839500,1.415990194,4862449
5,4,all,11,2,256,512,150,39321600,27159875,0.690711339,9724898
5,5,all,11,1,256,512,150,19660800,27827541,1.415381927,4862449
5,2,all,11,2,256,512,150,39321600,34057458,0.866125946,9724898
5,1,all,11,1,256,512,150,19660800,26702625,1.358165741,4862449
5,3,all,11,2,256,512,150,39321600,23767667,0.604443029,9724898
5,4,all,12,2,256,512,150,39321600,27972375,0.711374283,9724898
5,5,all,12,1,256,512,150,19660800,27247167,1.385862579,4862449
5,1,all,12,1,256,512,150,19660800,26433042,1.344454041,4862449
5,2,all,12,2,256,512,150,39321600,33176417,0.843719915,9724898
5,3,all,12,2,256,512,150,39321600,22991500,0.584704081,9724898
5,3,all,13,2,256,512,150,39321600,22807042,0.580013072,9724898
5,1,all,13,1,256,512,150,19660800,26339083,1.339675039,4862449
5,5,all,13,1,256,512,150,19660800,27422250,1.394767761,4862449
5,4,all,13,2,256,512,150,39321600,26628917,0.677208379,9724898
5,2,all,13,2,256,512,150,39321600,33077542,0.841205393,9724898
5,3,all,14,2,256,512,150,39321600,23001167,0.584949926,9724898
5,1,all,14,1,256,512,150,19660800,26382833,1.341900279,4862449
5,5,all,14,1,256,512,150,19660800,27427250,1.395022074,4862449
5,2,all,14,2,256,512,150,39321600,33123458,0.842373098,9724898
5,4,all,14,2,256,512,150,39321600,26619292,0.676963603,9724898
6,4,first,0,3,256,512,150,58982400,22212833,0.376601037,196608
6,6,first,0,1,256,512,150,19660800,22786292,1.158970744,65536
6,3,first,0,3,256,512,150,58982400,23340792,0.395724691,196608
6,2,first,0,2,256,512,150,39321600,25064417,0.637421087,131072
6,5,first,0,2,256,512,150,39321600,22537500,0.573158264,131072
6,1,first,0,2,256,512,150,39321600,35646208,0.906529948,131072
6,6,first,1,1,256,512,150,19660800,22888417,1.164165090,65536
6,3,first,1,3,256,512,150,58982400,23270041,0.394525163,196608
6,4,first,1,3,256,512,150,58982400,22217167,0.376674516,196608
6,2,first,1,2,256,512,150,39321600,25153750,0.639692942,131072
6,5,first,1,2,256,512,150,39321600,22716667,0.577714717,131072
6,1,first,1,2,256,512,150,39321600,35659167,0.906859512,131072
6,2,first,2,2,256,512,150,39321600,24901083,0.633267288,131072
6,5,first,2,2,256,512,150,39321600,22571167,0.574014460,131072
6,6,first,2,1,256,512,150,19660800,22897167,1.164610138,65536
6,1,first,2,2,256,512,150,39321600,36395709,0.925590744,131072
6,3,first,2,3,256,512,150,58982400,23518166,0.398731927,196608
6,4,first,2,3,256,512,150,58982400,22293291,0.377965139,196608
6,3,first,3,3,256,512,150,58982400,23430292,0.397242093,196608
6,4,first,3,3,256,512,150,58982400,22293500,0.377968682,196608
6,1,first,3,2,256,512,150,39321600,35949708,0.914248352,131072
6,2,first,3,2,256,512,150,39321600,25366459,0.645102412,131072
6,5,first,3,2,256,512,150,39321600,22627292,0.575441793,131072
6,6,first,3,1,256,512,150,19660800,22877708,1.163620402,65536
6,3,first,4,3,256,512,150,58982400,23597958,0.400084737,196608
6,5,first,4,2,256,512,150,39321600,22578375,0.574197769,131072
6,1,first,4,2,256,512,150,39321600,35834958,0.911330109,131072
6,2,first,4,2,256,512,150,39321600,25141042,0.639369761,131072
6,4,first,4,3,256,512,150,58982400,22380917,0.379450768,196608
6,6,first,4,1,256,512,150,19660800,22811250,1.160240173,65536
6,4,first,5,3,256,512,150,58982400,22269750,0.377566020,196608
6,6,first,5,1,256,512,150,19660800,22815416,1.160452067,65536
6,5,first,5,2,256,512,150,39321600,22541708,0.573265279,131072
6,3,first,5,3,256,512,150,58982400,23591792,0.399980197,196608
6,1,first,5,2,256,512,150,39321600,35923625,0.913585027,131072
6,2,first,5,2,256,512,150,39321600,25219000,0.641352336,131072
6,3,first,6,3,256,512,150,58982400,23556750,0.399386088,196608
6,1,first,6,2,256,512,150,39321600,36056041,0.916952540,131072
6,6,first,6,1,256,512,150,19660800,22978959,1.168770294,65536
