k,q,mode,runs,median_ns_per_base,mean_ns_per_base,stddev_ns_per_base,min_ns_per_base,max_ns_per_base,slower_than_best_pct
20,12,all,15,0.349781596,0.353289239,0.007665690,0.346516503,0.368583103,79.0428
20,12,first,15,0.299974022,0.303216581,0.006016537,0.297244390,0.312898954,78.0411
21,1,all,15,0.486327277,0.493529376,0.018607714,0.480535295,0.552416907,154.6780
21,1,first,15,0.406089359,0.412891903,0.012542685,0.402762807,0.444097171,144.2781
21,2,all,15,0.417224036,0.429770293,0.031282865,0.412507239,0.508021613,118.4902
21,2,first,15,0.344378866,0.347927236,0.009417634,0.340338101,0.374563717,107.1569
21,3,all,15,0.308138529,0.322860507,0.028560260,0.305621363,0.401945648,61.3648
21,3,first,15,0.251535314,0.264530890,0.044400752,0.249033496,0.424327329,51.3080
21,4,all,15,0.214637329,0.218221651,0.010770955,0.213011424,0.255168915,12.4004
21,4,first,15,0.182658649,0.191168631,0.024089673,0.180505473,0.275672277,9.8761
21,5,all,15,0.190957743,0.192884751,0.004935808,0.189233712,0.209145016,0.0000
21,5,first,15,0.166240569,0.174050892,0.026142495,0.164222412,0.267935864,0.0000
21,6,all,15,0.196100523,0.196839085,0.002859673,0.194176568,0.205018785,2.6932
21,6,first,15,0.173558129,0.175758031,0.004811243,0.171187371,0.185517909,4.4018
21,7,all,15,0.209668060,0.212642672,0.009722856,0.207573781,0.245900889,9.7981
21,7,first,15,0.180229263,0.182049200,0.005285653,0.178550084,0.196104753,8.4147
21,8,all,15,0.226507395,0.230226164,0.006373248,0.223671804,0.244598389,18.6165
21,8,first,15,0.195996323,0.197167667,0.003065585,0.194415699,0.203675164,17.8992
21,9,all,15,0.246056447,0.246403842,0.006891129,0.238670776,0.260398865,28.8539
21,9,first,15,0.205742727,0.210916760,0.014899883,0.203948975,0.261159688,23.7620
21,10,all,15,0.267367363,0.267102101,0.006290485,0.261889559,0.286608276,40.0139
21,10,first,15,0.227635701,0.232483222,0.014465835,0.225508372,0.283433706,36.9315
21,11,all,15,0.294839541,0.296821913,0.011147323,0.289879379,0.334750811,54.4004
21,11,first,15,0.246997833,0.252977386,0.017398821,0.245951762,0.312023590,48.5786
21,12,all,15,0.320965449,0.324265550,0.012028676,0.318542061,0.366717453,68.0819
21,12,first,15,0.278537547,0.280648727,0.006966042,0.277327970,0.304978155,67.5509
22,1,all,15,0.459060669,0.462664426,0.005659450,0.456591712,0.472684072,140.0031
22,1,first,15,0.380454593,0.380310670,0.001561975,0.377051036,0.382742716,127.2437
22,2,all,15,0.408938378,0.409529744,0.005004569,0.399680667,0.423163656,113.7985
22,2,first,15,0.339357588,0.339483143,0.002083697,0.336846941,0.344965193,102.6967
22,3,all,15,0.313551687,0.314018178,0.004225525,0.307994944,0.322946447,63.9290
22,3,first,15,0.263359286,0.263566052,0.003183451,0.256909256,0.270910263,57.3032
22,4,all,15,0.209901601,0.210617265,0.002232760,0.208102763,0.214856466,9.7394
22,4,first,15,0.176876560,0.177860166,0.002407259,0.175196330,0.184001219,5.6475
22,5,all,15,0.191272803,0.193796605,0.008004520,0.189622947,0.221870210,0.0000
22,5,first,15,0.167421409,0.167376012,0.000818214,0.166002909,0.168605737,0.0000
22,6,all,15,0.192911716,0.197067756,0.016076038,0.190843302,0.254910787,0.8568
22,6,first,15,0.170086755,0.170187467,0.000995284,0.168650945,0.171835861,1.5920
22,7,all,15,0.207697550,0.208840008,0.002782801,0.206233978,0.215516825,8.5871
22,7,first,15,0.179765133,0.179816023,0.001490333,0.177199046,0.182570351,7.3728
22,8,all,15,0.218770345,0.220862522,0.004274763,0.216408620,0.230969320,14.3761
22,8,first,15,0.190634545,0.190832726,0.001071177,0.189569261,0.193232430,13.8651
22,9,all,15,0.247656504,0.246286972,0.009716912,0.236493429,0.274255544,29.4782
22,9,first,15,0.204855174,0.205146054,0.001248115,0.203662872,0.208635966,22.3590
22,10,all,15,0.256704229,0.256360762,0.003943124,0.251654523,0.263848826,34.2084
22,10,first,15,0.218889445,0.219160913,0.001158228,0.217454692,0.221627981,30.7416
22,11,all,15,0.281324387,0.281010802,0.003528860,0.275593859,0.286821264,47.0802
22,11,first,15,0.238146037,0.238574897,0.001494939,0.236788015,0.242156555,42.2435
22,12,all,15,0.306317012,0.306778133,0.002236095,0.304614182,0.312485695,60.1467
22,12,first,15,0.267092387,0.267275350,0.002433665,0.263206164,0.271341006,59.5330
23,1,all,15,0.447708401,0.452844172,0.007419030,0.445118646,0.465467241,139.7641
23,1,first,15,0.372271356,0.372866503,0.002637582,0.369102342,0.379741804,127.1656
23,2,all,15,0.387440440,0.387440152,0.002319693,0.384707981,0.392075992,107.4884
23,2,first,15,0.314096883,0.314544112,0.003890344,0.309783618,0.325083199,91.6666
23,3,all,15,0.311098099,0.313200740,0.006817322,0.306551717,0.335387128,66.6043
23,3,first,15,0.267803942,0.267385660,0.001991831,0.263857841,0.270765088,63.4180
23,4,all,15,0.210942169,0.211420554,0.001586631,0.209577769,0.214471608,12.9672
23,4,first,15,0.182408939,0.182792900,0.001720365,0.180358539,0.188129569,11.3087
23,5,all,15,0.186728728,0.186709838,0.001346506,0.184615097,0.190440996,0.0000
23,5,first,15,0.163876670,0.164257876,0.001326235,0.162802197,0.167334420,0.0000
23,6,all,15,0.191209234,0.191433070,0.001031820,0.190098368,0.193100323,2.3995
23,6,first,15,0.170565711,0.170905195,0.001778469,0.168761147,0.176157778,4.0818
23,7,all,15,0.201841990,0.201753318,0.001125360,0.200090617,0.203589966,8.0937
23,7,first,15,0.175740984,0.175778684,0.001123501,0.173521745,0.177645857,7.2398
23,8,all,15,0.209260305,0.210181738,0.003298159,0.208630035,0.221825918,12.0665
23,8,first,15,0.184568117,0.184419821,0.001069296,0.183016815,0.186343723,12.6262
23,9,all,15,0.231107931,0.232212971,0.003760808,0.229393860,0.244985789,23.7667
23,9,first,15,0.198424876,0.198407775,0.001271529,0.196844737,0.201237152,21.0818
23,10,all,15,0.253014565,0.255781458,0.014316612,0.248649381,0.306739273,35.4985
23,10,first,15,0.218500773,0.218680572,0.001409202,0.216723124,0.221206665,33.3324
23,11,all,15,0.265680949,0.267392089,0.005181182,0.263368823,0.282686030,42.2818
23,11,first,15,0.228018860,0.228180921,0.000944547,0.226464162,0.230064819,39.1405
23,12,all,15,0.292943853,0.292878681,0.001489559,0.289968923,0.295090141,56.8820
23,12,first,15,0.254702568,0.255334113,0.002348154,0.252763964,0.261403198,55.4233
24,1,all,15,0.454217411,0.459160699,0.016668700,0.443963657,0.510733558,139.4983
24,1,first,15,0.372336358,0.374740082,0.005041183,0.369148966,0.386211955,122.3150
24,2,all,15,0.387867110,0.389667933,0.005573987,0.383964115,0.402230157,104.5134
24,2,first,15,0.313523610,0.313515840,0.001974995,0.310315552,0.318651199,87.1990
24,3,all,15,0.303955599,0.305010867,0.005286542,0.298783506,0.317326647,60.2688
