k,patterns,mode,algorithm,runs,median_build_ms_per_matcher,median_search_ns_per_base,median_reference_ns_per_base,mean_reference_ns_per_base,stddev_reference_ns_per_base,min_reference_ns_per_base,max_reference_ns_per_base,slower_than_best_pct
6,8,first,hash,5,0.000958,1.460339519,1.460350951,1.472225943,0.034235679,1.447789413,1.530173486,55.7906
6,16,all,aho_corasick,5,0.028065,1.295608541,1.295877673,1.303014233,0.015575449,1.292083211,1.329111950,0.0000
6,16,all,bndmq,5,0.004339,7.005685818,7.005761076,7.009267485,0.010007698,7.000111225,7.025874208,440.6190
6,16,all,hash,5,0.001219,2.390511424,2.390520173,2.394033923,0.009656163,2.386202157,2.409974811,84.4711
6,16,first,aho_corasick,5,0.028021,0.889610692,0.889887325,0.903956427,0.039816867,0.861791726,0.967657102,0.0000
6,16,first,bndmq,5,0.004987,4.408349343,4.408402128,4.402369956,0.029889523,4.368502656,4.440611595,395.3888
6,16,first,hash,5,0.001164,1.450252342,1.450265909,1.457605804,0.017528810,1.447251995,1.488811736,62.9719
6,32,all,aho_corasick,5,0.046401,1.351700856,1.352178351,1.354625809,0.012137048,1.343012066,1.372021058,0.0000
6,32,all,bndmq,5,0.007713,13.946315509,13.946389468,13.949268323,0.080509984,13.834175840,14.058977479,931.4016
6,32,all,hash,5,0.001609,2.660592465,2.660614288,2.661001588,0.012538287,2.648022568,2.681052302,96.7650
6,32,first,aho_corasick,5,0.045146,0.745563205,0.746020962,0.748806322,0.005528158,0.744182644,0.757725969,0.0000
6,32,first,bndmq,5,0.007292,6.963286794,6.963359918,6.969391702,0.018471108,6.955274039,7.001503523,833.4000
6,32,first,hash,5,0.001167,1.301572917,1.301583699,1.305064212,0.008991037,1.299053611,1.320902500,74.4701
6,64,all,aho_corasick,5,0.077760,1.462802878,1.463606309,1.459413364,0.009561671,1.448777992,1.468581481,0.0000
6,64,all,hash,5,0.002208,2.931547378,2.931569982,2.928818862,0.009109799,2.918600614,2.938858467,100.2977
6,64,first,aho_corasick,5,0.075677,0.593501922,0.594267853,0.595957025,0.006731662,0.589743620,0.607355034,0.0000
6,64,first,bndmq,5,0.013250,9.713985618,9.714136137,9.715227590,0.033888750,9.677262794,9.769465797,1534.6393
6,64,first,hash,5,0.001354,1.014257716,1.014280113,1.020397129,0.012230413,1.012987939,1.041869475,70.6773
6,128,all,aho_corasick,5,0.143375,1.636691727,1.638023184,1.642175093,0.011064572,1.635000275,1.661433557,0.0000
6,128,all,hash,5,0.004938,3.273273873,3.273329083,3.278989736,0.014190626,3.269888255,3.304190682,99.8341
6,128,first,aho_corasick,5,0.135146,0.402324605,0.403693773,0.406468729,0.005738443,0.402366490,0.416169793,0.0000
6,128,first,bndmq,5,0.029458,11.439112952,11.439501701,11.459194289,0.034902905,11.432389635,11.512313225,2733.7077
6,128,first,hash,5,0.003583,0.694084862,0.694106947,0.700276933,0.013732155,0.693474443,0.724808965,71.9390
6,256,all,aho_corasick,5,0.230833,2.025718039,2.028097614,2.029418023,0.002662740,2.027399695,2.033720513,0.0000
6,256,all,hash,5,0.006083,4.486436027,4.486504357,4.500965830,0.041576289,4.471099808,4.571842526,121.2174
6,256,first,aho_corasick,5,0.256000,0.321362267,0.323909772,0.336367413,0.027484558,0.323073524,0.385508399,0.0000
6,256,first,bndmq,5,0.049000,11.978003124,11.978328123,11.968836478,0.048118950,11.902198696,12.034176342,3598.0447
6,256,first,hash,5,0.004792,0.531026438,0.531069348,0.533967516,0.007763158,0.528753532,0.547703905,63.9560
6,1000,all,aho_corasick,5,0.702375,4.649604041,4.657440685,4.642973798,0.064676201,4.536416767,4.711288077,0.0000
6,1000,all,hash,5,0.025125,9.885519809,9.885843558,9.899529869,0.056198351,9.847463225,9.991267517,112.2591
6,1000,first,aho_corasick,5,0.697625,0.217607065,0.224787050,0.232537699,0.020402446,0.219514141,0.268627793,0.0000
6,1000,first,bndmq,5,0.199500,12.553511563,12.555854888,12.569476693,0.025437954,12.549179072,12.605382289,5485.6665
6,1000,first,hash,5,0.008291,0.342839314,0.342962224,0.347506969,0.013800000,0.337676825,0.371856336,52.5721
7,4,all,aho_corasick,5,0.012825,1.241936032,1.242068548,1.249445880,0.012231172,1.241274854,1.269657490,0.0000
7,4,all,bndmq,5,0.001126,1.488879843,1.488891580,1.497625108,0.033153075,1.467178067,1.547057774,19.8719
