k,patterns,mode,best_algorithm,median_reference_ns_per_base,second_algorithm,margin_pct
48,64,first,hash,1.709465482,aho_corasick,2.6310
48,128,all,hash,2.291936191,aho_corasick,13.2372
48,128,first,hash,1.694468936,aho_corasick,22.3792
48,256,all,hash,2.217344875,aho_corasick,37.2937
48,256,first,hash,1.646316877,aho_corasick,53.7633
48,1000,all,hash,2.284083242,aho_corasick,98.7379
48,1000,first,hash,1.674648351,aho_corasick,130.2993
48,10000,all,hash,2.650437599,aho_corasick,413.5825
48,10000,first,hash,2.073129164,aho_corasick,470.7811
48,100000,all,hash,5.676477527,,
48,100000,first,hash,4.333780172,,
48,1000000,all,hash,7.348988532,,
48,1000000,first,hash,7.855043920,,
64,1,all,bndmq,0.270192535,aho_corasick,307.3093
64,1,first,bndmq,0.326558141,aho_corasick,57.2321
64,2,all,bndmq,0.342765983,hash,419.1019
64,2,first,bndmq,0.365183128,hash,274.8353
64,4,all,bndmq,0.506896374,hash,277.7339
64,4,first,bndmq,0.450293843,hash,217.1738
64,8,all,bndmq,0.696898157,hash,201.3579
64,8,first,bndmq,0.580517614,hash,171.7383
64,16,all,bndmq,1.204870509,aho_corasick,76.8200
64,16,first,bndmq,0.901536605,hash,77.7185
64,32,all,bndmq,2.003402984,aho_corasick,10.4320
64,32,first,bndmq,1.510952074,hash,5.5855
64,64,all,hash,2.108446807,aho_corasick,10.1827
64,64,first,hash,1.597166530,aho_corasick,18.8067
64,128,all,hash,2.040017730,aho_corasick,31.7630
64,128,first,hash,1.561671187,aho_corasick,44.6853
64,256,all,hash,2.034396381,aho_corasick,62.3970
64,256,first,hash,1.590095710,aho_corasick,72.1577
64,1000,all,hash,2.080631049,aho_corasick,121.9097
64,1000,first,hash,1.597779504,aho_corasick,139.1908
64,10000,all,hash,2.484238552,aho_corasick,472.1498
64,10000,first,hash,1.866038058,aho_corasick,559.0039
64,100000,all,hash,4.513756482,,
64,100000,first,hash,4.333297463,,
64,1000000,all,hash,6.868198494,,
64,1000000,first,hash,6.216732007,,
80,1,all,aho_corasick,1.187075983,hash,37.0283
80,1,first,aho_corasick,0.514468114,hash,157.8326
80,2,all,hash,1.668394067,aho_corasick,204.4579
80,2,first,hash,1.310168185,aho_corasick,213.5675
80,4,all,hash,1.750342117,aho_corasick,22.6236
80,4,first,hash,1.384178706,aho_corasick,25.4931
80,8,all,hash,1.942655110,aho_corasick,9.2027
80,8,first,hash,1.535503993,aho_corasick,15.2491
80,16,all,hash,1.982884790,aho_corasick,9.0916
80,16,first,hash,1.512353020,aho_corasick,19.4814
80,32,all,hash,1.889238499,aho_corasick,17.7880
80,32,first,hash,1.503544814,aho_corasick,19.5341
80,64,all,hash,1.927969124,aho_corasick,22.9132
80,64,first,hash,1.493806445,aho_corasick,32.0887
80,128,all,hash,1.922896384,aho_corasick,43.4689
80,128,first,hash,1.502577015,aho_corasick,65.4934
80,256,all,hash,1.928641193,aho_corasick,69.6381
80,256,first,hash,1.596320297,aho_corasick,82.0018
80,1000,all,hash,1.926381177,aho_corasick,139.7610
80,1000,first,hash,1.559989020,aho_corasick,156.7333
80,10000,all,hash,2.180639129,aho_corasick,609.5775
80,10000,first,hash,1.862823374,aho_corasick,648.9770
80,100000,all,hash,4.390736489,,
80,100000,first,hash,3.787084036,,
80,1000000,all,hash,6.241125338,,
80,1000000,first,hash,6.040259419,,
96,1,all,aho_corasick,1.212866841,hash,25.9663
96,1,first,aho_corasick,0.478978067,hash,172.6172
96,2,all,hash,1.553227404,aho_corasick,218.6853
96,2,first,hash,1.319759135,aho_corasick,211.7716
96,4,all,hash,1.606204472,aho_corasick,32.1098
96,4,first,hash,1.377146827,aho_corasick,33.6405
96,8,all,hash,1.745536753,aho_corasick,21.7953
96,8,first,hash,1.447321444,aho_corasick,25.2947
96,16,all,hash,1.732695712,aho_corasick,22.7622
96,16,first,hash,1.434217554,aho_corasick,30.4504
96,32,all,hash,1.716845931,aho_corasick,29.9000
96,32,first,hash,1.420702011,aho_corasick,36.8611
96,64,all,hash,1.807482988,aho_corasick,33.8910
96,64,first,hash,1.478724623,aho_corasick,40.8586
96,128,all,hash,1.722014966,aho_corasick,62.8771
96,128,first,hash,1.444289876,aho_corasick,71.6735
96,256,all,hash,1.852788274,aho_corasick,78.4125
96,256,first,hash,1.486530227,aho_corasick,94.7808
96,1000,all,hash,1.759085402,aho_corasick,168.2484
96,1000,first,hash,1.469341581,aho_corasick,173.2856
96,10000,all,hash,2.049666541,aho_corasick,670.4278
96,10000,first,hash,1.726176098,aho_corasick,749.1482
96,100000,all,hash,3.561577247,,
96,100000,first,hash,3.165540549,,
96,1000000,all,hash,5.879640831,,
96,1000000,first,hash,5.292459535,,
128,1,all,aho_corasick,1.395040336,hash,0.8982
128,1,first,aho_corasick,0.419789591,hash,188.1735
128,2,all,hash,1.313156474,aho_corasick,244.6996
128,2,first,hash,1.262431702,aho_corasick,220.1526
128,4,all,hash,1.372586855,aho_corasick,56.3084
128,4,first,hash,1.226709668,aho_corasick,55.2662
128,8,all,hash,1.439917559,aho_corasick,52.6790
128,8,first,hash,1.304472085,aho_corasick,50.1728
128,16,all,hash,1.402942708,aho_corasick,56.8137
128,16,first,hash,1.277849048,aho_corasick,54.6718
128,32,all,hash,1.417783768,aho_corasick,63.2997
128,32,first,hash,1.294824645,aho_corasick,55.1888
128,64,all,hash,1.432642096,aho_corasick,75.1966
128,64,first,hash,1.308101968,aho_corasick,65.5718
128,128,all,hash,1.448509698,aho_corasick,97.6232
