k,patterns,algorithm,mode,run,iterations,banks,sequences_per_bank,sequence_length,target_bases_per_cell,bases,build_ns,search_ns,total_ns,fixed_ns_per_matcher,build_ns_per_matcher,search_ns_per_base,reference_total_ns,reference_ns_per_base,validation_checksum,matching_records,matches,timed_checksum
4,32,bndmq,first,1,1,8,83334,150,100000000,100000800,86862,236775374,236889737,14295.375,10857.750,2.367734798,236789669.375,2.367877751,8490852710480701767,666672,666672,8490852710480701767
4,32,bndmq,first,2,1,8,83334,150,100000000,100000800,74619,464180007,464289882,13734.375,9327.375,4.641762936,464193741.375,4.641900279,8490852710480701767,666672,666672,8490852710480701767
4,32,bndmq,first,3,1,8,83334,150,100000000,100000800,83586,290269378,290383170,14224.000,10448.250,2.902670559,290283602.000,2.902812797,8490852710480701767,666672,666672,8490852710480701767
4,32,bndmq,first,4,1,8,83334,150,100000000,100000800,91751,180598452,180717514,14882.750,11468.875,1.805970072,180613334.750,1.806118899,8490852710480701767,666672,666672,8490852710480701767
4,64,hash,first,0,1,4,166668,150,100000000,100000800,14477,32430712,32447944,4308.000,3619.250,0.324304526,32435020.000,0.324347605,8140515830222999736,666672,666672,8140515830222999736
4,64,hash,first,1,1,4,166668,150,100000000,100000800,10400,32872889,32886615,3431.500,2600.000,0.328726260,32876320.500,0.328760575,8140515830222999736,666672,666672,8140515830222999736
4,64,hash,first,2,1,4,166668,150,100000000,100000800,7605,31742267,31753258,2747.750,1901.250,0.317420131,31745014.750,0.317447608,8140515830222999736,666672,666672,8140515830222999736
4,64,hash,first,3,1,4,166668,150,100000000,100000800,6452,31411839,31421436,2399.250,1613.000,0.314115877,31414238.250,0.314139869,8140515830222999736,666672,666672,8140515830222999736
4,64,hash,first,4,1,4,166668,150,100000000,100000800,5460,31816039,31824524,2121.250,1365.000,0.318157845,31818160.250,0.318179057,8140515830222999736,666672,666672,8140515830222999736
4,64,aho_corasick,first,0,1,4,166668,150,100000000,100000800,234899,25207508,25464087,64144.750,58724.750,0.252073063,25271652.750,0.252714506,8140515830222999736,666672,666672,8140515830222999736
4,64,aho_corasick,first,1,1,4,166668,150,100000000,100000800,223857,24270949,24502971,58005.500,55964.250,0.242707548,24328954.500,0.243287599,8140515830222999736,666672,666672,8140515830222999736
4,64,aho_corasick,first,2,1,4,166668,150,100000000,100000800,233386,24652450,24896836,61096.500,58346.500,0.246522528,24713546.500,0.247133488,8140515830222999736,666672,666672,8140515830222999736
4,64,aho_corasick,first,3,1,4,166668,150,100000000,100000800,254575,25959561,26224715,66288.500,63643.750,0.259593533,26025849.500,0.260256413,8140515830222999736,666672,666672,8140515830222999736
4,64,aho_corasick,first,4,1,4,166668,150,100000000,100000800,277939,26464924,26752170,71811.500,69484.750,0.264647123,26536735.500,0.265365232,8140515830222999736,666672,666672,8140515830222999736
4,64,bndmq,first,0,1,4,166668,150,100000000,100000800,128529,184913027,185092211,44796.000,32132.250,1.849115477,184957823.000,1.849563433,8140515830222999736,666672,666672,8140515830222999736
4,64,bndmq,first,1,1,4,166668,150,100000000,100000800,162433,193000561,193194022,48365.250,40608.250,1.929990170,193048926.250,1.930473819,8140515830222999736,666672,666672,8140515830222999736
4,64,bndmq,first,2,1,4,166668,150,100000000,100000800,109505,193332676,193470925,34562.250,27376.250,1.933311294,193367238.250,1.933656913,8140515830222999736,666672,666672,8140515830222999736
4,64,bndmq,first,3,1,4,166668,150,100000000,100000800,109284,179070468,179207674,34301.500,27321.000,1.790690354,179104769.500,1.791033367,8140515830222999736,666672,666672,8140515830222999736
4,64,bndmq,first,4,1,4,166668,150,100000000,100000800,151643,184384934,184563337,44600.750,37910.750,1.843834589,184429534.750,1.844280593,8140515830222999736,666672,666672,8140515830222999736
4,128,aho_corasick,first,0,1,2,333334,150,100000000,100000200,180838,20414307,20599413,92553.000,90419.000,0.204142662,20506860.000,0.205068190,9494516320557277198,666668,666668,9494516320557277198
4,128,aho_corasick,first,1,1,2,333334,150,100000000,100000200,173934,22490942,22668603,88830.500,86967.000,0.224908970,22579772.500,0.225797273,9494516320557277198,666668,666668,9494516320557277198
4,128,aho_corasick,first,2,1,2,333334,150,100000000,100000200,173594,20794933,20974248,89657.500,86797.000,0.207948914,20884590.500,0.208845487,9494516320557277198,666668,666668,9494516320557277198
4,128,aho_corasick,first,3,1,2,333334,150,100000000,100000200,169667,20560484,20735911,87713.500,84833.500,0.205604429,20648197.500,0.206481562,9494516320557277198,666668,666668,9494516320557277198
4,128,aho_corasick,first,4,1,2,333334,150,100000000,100000200,158956,21434389,21600609,83110.000,79478.000,0.214343461,21517499.000,0.215174560,9494516320557277198,666668,666668,9494516320557277198
4,128,bndmq,first,0,1,2,333334,150,100000000,100000200,231201,182598072,182858828,130378.000,115600.500,1.825977068,182728450.000,1.827280845,9494516320557277198,666668,666668,9494516320557277198
4,128,bndmq,first,1,1,2,333334,150,100000000,100000200,115665,185924169,186068659,72245.000,57832.500,1.859237972,185996414.000,1.859960420,9494516320557277198,666668,666668,9494516320557277198
4,128,bndmq,first,2,1,2,333334,150,100000000,100000200,100137,178589771,178708012,59120.500,50068.500,1.785894138,178648891.500,1.786485342,9494516320557277198,666668,666668,9494516320557277198
