k,patterns,mode,region,algorithm,min_bases_inclusive,max_bases_exclusive
96,64,all,1,aho_corasick,3238829.123652,
96,64,first,0,hash,0.000000,8891797.187282
96,64,first,1,aho_corasick,8891797.187282,
96,128,all,0,hash,0.000000,
96,128,first,0,hash,0.000000,
96,256,all,0,hash,0.000000,
96,256,first,0,hash,0.000000,
96,1000,all,0,hash,0.000000,
96,1000,first,0,hash,0.000000,
96,10000,all,0,hash,0.000000,
96,10000,first,0,hash,0.000000,
96,100000,all,0,hash,0.000000,
96,100000,first,0,hash,0.000000,
96,1000000,all,0,hash,0.000000,
96,1000000,first,0,hash,0.000000,
128,1,all,0,hash,0.000000,75535.198183
128,1,all,1,aho_corasick,75535.198183,
128,1,first,0,hash,0.000000,31711.961495
128,1,first,1,aho_corasick,31711.961495,
128,2,all,0,hash,0.000000,
128,2,first,0,hash,0.000000,
128,4,all,0,hash,0.000000,461639.884950
128,4,all,1,aho_corasick,461639.884950,
128,4,first,0,hash,0.000000,1449692.061246
128,4,first,1,aho_corasick,1449692.061246,
128,8,all,0,hash,0.000000,683311.793627
128,8,all,1,aho_corasick,683311.793627,
128,8,first,0,hash,0.000000,3259081.498642
128,8,first,1,aho_corasick,3259081.498642,
128,16,all,0,hash,0.000000,3332191.349050
128,16,all,1,aho_corasick,3332191.349050,
128,16,first,0,hash,0.000000,
128,32,all,0,hash,0.000000,
128,32,first,0,hash,0.000000,
128,64,all,0,hash,0.000000,
128,64,first,0,hash,0.000000,
128,128,all,0,hash,0.000000,
128,128,first,0,hash,0.000000,
128,256,all,0,hash,0.000000,
128,256,first,0,hash,0.000000,
128,1000,all,0,hash,0.000000,
128,1000,first,0,hash,0.000000,
128,10000,all,0,hash,0.000000,
128,10000,first,0,hash,0.000000,
128,100000,all,0,hash,0.000000,
128,100000,first,0,hash,0.000000,
128,1000000,all,0,hash,0.000000,
128,1000000,first,0,hash,0.000000,
