k,patterns,algorithm,mode,status,wall_ms,detail
10,256,aho_corasick,first,ok,350,""
10,1000,bndmq,first,ok,1794,""
10,1000,aho_corasick,first,ok,296,""
10,1000,hash,first,ok,349,""
10,10000,hash,first,ok,292,""
10,10000,bndmq,first,ok,10936,""
10,10000,aho_corasick,first,ok,555,""
10,100000,hash,first,ok,282,""
10,100000,aho_corasick,first,ok,2059,""
10,100000,bndmq,first,ok,19465,""
10,1000000,aho_corasick,first,ok,14241,""
10,1000000,hash,first,ok,486,""
10,1000000,bndmq,first,ok,24372,""
10,1,hash,all,ok,1270,""
10,1,bndmq,all,ok,432,""
10,1,aho_corasick,all,ok,492,""
10,2,aho_corasick,all,ok,3159,""
10,2,bndmq,all,ok,433,""
10,2,hash,all,ok,1343,""
10,4,hash,all,ok,1503,""
10,4,aho_corasick,all,ok,964,""
10,4,bndmq,all,ok,742,""
10,8,aho_corasick,all,ok,483,""
10,8,hash,all,ok,759,""
10,8,bndmq,all,ok,700,""
10,16,aho_corasick,all,ok,450,""
10,16,bndmq,all,ok,641,""
10,16,hash,all,ok,400,""
10,32,bndmq,all,ok,642,""
10,32,hash,all,ok,436,""
10,32,aho_corasick,all,ok,348,""
10,64,bndmq,all,ok,658,""
10,64,hash,all,ok,376,""
10,64,aho_corasick,all,ok,357,""
10,128,bndmq,all,ok,644,""
10,128,aho_corasick,all,ok,326,""
10,128,hash,all,ok,349,""
10,256,bndmq,all,ok,642,""
10,256,hash,all,ok,326,""
10,256,aho_corasick,all,ok,352,""
10,1000,aho_corasick,all,ok,348,""
10,1000,hash,all,ok,319,""
10,1000,bndmq,all,ok,2491,""
10,10000,hash,all,ok,325,""
10,10000,bndmq,all,ok,23850,""
10,10000,aho_corasick,all,ok,603,""
10,100000,hash,all,ok,431,""
10,100000,bndmq,all,timed_out,60008,"hard timeout after 60 seconds"
10,100000,aho_corasick,all,ok,2222,""
10,1000000,hash,all,ok,807,""
10,1000000,aho_corasick,all,ok,15308,""
