k,patterns,mode,algorithm,runs,median_fixed_ns_per_matcher,fixed_p2_5_ns_per_matcher,fixed_p97_5_ns_per_matcher,median_search_ns_per_base,search_p2_5_ns_per_base,search_p97_5_ns_per_base
10,1000,all,aho_corasick,5,1951410.000000000,1784773.700000000,2681545.400000000,3.466533017,3.077460804,3.642720645
10,1000,all,hash,5,18264.000000000,18180.900000000,31982.800000000,2.540096330,2.514067988,2.565781263
10,1000,first,aho_corasick,5,1923107.000000000,1784673.200000000,2251628.800000000,2.513356733,2.471223755,2.606374283
10,1000,first,hash,5,21039.000000000,18788.100000000,34807.200000000,1.782760314,1.754057521,1.812067366
10,10000,all,aho_corasick,5,17441790.000000000,16243488.800000001,18657677.500000000,9.259677411,9.168772160,9.421576141
10,10000,all,hash,5,161752.000000000,159695.100000000,332583.200000000,3.334555901,3.319205948,3.401077418
10,10000,first,aho_corasick,5,17281491.000000000,16939851.800000001,17541480.899999999,4.329813520,4.313173598,4.494304919
10,10000,first,hash,5,163405.000000000,153046.300000000,309940.800000000,1.507436885,1.472451395,1.555528264
10,100000,all,hash,5,2112511.000000000,1782757.100000000,3507076.700000000,10.037019936,9.978787523,10.322675897
10,100000,first,aho_corasick,5,138620726.000000000,134708626.699999988,141783314.199999988,3.226728317,2.876291868,3.708978811
10,100000,first,hash,5,1840614.000000000,1803618.800000000,3519092.700000000,0.820259659,0.803999220,0.845261536
10,1000000,first,aho_corasick,5,1063164725.000000000,1030803438.399999976,1165231644.799999952,3.286507547,3.252515669,3.302196223
10,1000000,first,hash,5,55719172.000000000,54316745.300000004,58562698.100000001,0.763526533,0.687048190,0.765875069
12,1,all,aho_corasick,5,12351.344000000,10986.602900000,22483.844000000,0.620782160,0.604731608,0.645027074
12,1,all,bndmq,5,569.812000000,512.392000000,1033.389300000,0.391082051,0.375905381,0.394320750
12,1,all,hash,5,238.422000000,208.189300000,310.371600000,2.016081222,1.986661524,2.218141484
12,1,first,aho_corasick,5,13308.891000000,10957.431700000,14314.089200000,0.354852749,0.333680676,0.369874844
12,1,first,bndmq,5,676.109000000,664.001700000,1074.590300000,0.314658334,0.306830173,0.335709522
12,1,first,hash,5,233.562000000,203.344100000,410.002800000,1.421989305,1.362471933,1.473692374
12,2,all,aho_corasick,5,14236.094000000,13801.251100000,16918.350000000,5.694544608,5.615318608,5.818233848
12,2,all,bndmq,5,1290.703000000,1275.470100000,1883.542000000,0.687609276,0.676504998,0.810135247
12,2,all,hash,5,313.078000000,304.250100000,424.350400000,2.050897505,2.038565578,2.131205399
12,2,first,aho_corasick,5,14043.531000000,13848.118900000,17173.075200000,4.096660637,4.086795933,4.171987166
12,2,first,bndmq,5,1368.641000000,1253.704800000,2415.273300000,0.525933710,0.519689639,0.532911767
12,2,first,hash,5,318.703000000,293.112500000,402.413800000,1.495469700,1.437974331,1.584625018
12,4,all,aho_corasick,5,19761.391000000,19381.923900000,23128.013600000,2.159489115,2.122971910,2.198853959
12,4,all,bndmq,5,2579.969000000,2497.182500000,3199.244000000,1.249408166,1.241972690,1.296542670
12,4,all,hash,5,476.031000000,370.848700000,563.050300000,2.241709411,2.193038179,2.292528719
12,4,first,aho_corasick,5,21051.781000000,19763.821500000,23647.915500000,1.556630461,1.538869911,1.594406592
12,4,first,bndmq,5,2361.438000000,2241.512600000,3098.555100000,0.957473423,0.937008595,0.988016212
12,4,first,hash,5,497.328000000,367.833000000,605.591700000,1.570114805,1.532941569,1.577816566
12,8,all,aho_corasick,5,36983.344000000,31244.844000000,42786.718500000,2.089914253,2.041796922,2.168885540
12,8,all,bndmq,5,4528.125000000,4332.365600000,5502.609400000,2.433334303,2.389081234,2.486678562
12,8,all,hash,5,571.969000000,556.875000000,790.244000000,2.565987548,2.533048901,2.607626588
12,8,first,aho_corasick,5,31303.438000000,30676.803100000,43804.834600000,1.570447476,1.525094400,1.592901829
12,8,first,bndmq,5,5013.406000000,4552.687500000,5715.297100000,1.802647875,1.764015320,1.820676893
12,8,first,hash,5,654.969000000,575.446900000,1158.422100000,1.776753274,1.769702076,1.814225337
12,16,all,aho_corasick,5,53885.500000000,52088.038000000,66533.218800000,2.037412723,1.981261346,2.095454137
12,16,all,bndmq,5,8373.062000000,7923.469200000,15935.668700000,4.575238342,4.518676223,4.835089608
12,16,all,hash,5,1121.500000000,926.093300000,1527.168300000,2.535950350,2.441931023,2.582778756
