k,patterns,algorithm,mode,run,iterations,banks,sequences_per_bank,sequence_length,target_bases_per_cell,bases,build_ns,search_ns,total_ns,fixed_ns_per_matcher,build_ns_per_matcher,search_ns_per_base,reference_total_ns,reference_ns_per_base,validation_checksum,matching_records,matches,timed_checksum
4,16,bndmq,first,1,1,16,41668,150,100000000,100003200,112410,174751820,174888956,8571.000,7025.625,1.747462281,174760391.000,1.747547988,16049494105963295624,666658,666658,16049494105963295624
4,16,bndmq,first,2,1,16,41668,150,100000000,100003200,84869,167880652,167993143,7030.688,5304.312,1.678752800,167887682.688,1.678823105,16049494105963295624,666658,666658,16049494105963295624
4,16,bndmq,first,3,1,16,41668,150,100000000,100003200,84177,177994357,178107498,7071.312,5261.062,1.779886614,178001428.312,1.779957324,16049494105963295624,666658,666658,16049494105963295624
4,16,bndmq,first,4,1,16,41668,150,100000000,100003200,84177,171095138,171210784,7227.875,5261.062,1.710896631,171102365.875,1.710968908,16049494105963295624,666658,666658,16049494105963295624
4,16,hash,first,0,1,16,41668,150,100000000,100003200,18375,54068159,54090511,1397.000,1148.438,0.540664289,54069556.000,0.540678258,16049494105963295624,666658,666658,16049494105963295624
4,16,hash,first,1,1,16,41668,150,100000000,100003200,15138,52769153,52787858,1169.062,946.125,0.527674644,52770322.062,0.527686335,16049494105963295624,666658,666658,16049494105963295624
4,16,hash,first,2,1,16,41668,150,100000000,100003200,9458,52352472,52366058,849.125,591.125,0.523507968,52353321.125,0.523516459,16049494105963295624,666658,666658,16049494105963295624
4,16,hash,first,3,1,16,41668,150,100000000,100003200,21630,50908332,50933478,1571.625,1351.875,0.509067030,50909903.625,0.509082746,16049494105963295624,666658,666658,16049494105963295624
4,16,hash,first,4,1,16,41668,150,100000000,100003200,10048,51129516,51142852,833.500,628.000,0.511278799,51130349.500,0.511287134,16049494105963295624,666658,666658,16049494105963295624
4,16,aho_corasick,first,0,1,16,41668,150,100000000,100003200,406879,37174133,37594618,26280.312,25429.938,0.371729435,37200413.312,0.371992229,16049494105963295624,666658,666658,16049494105963295624
4,16,aho_corasick,first,1,1,16,41668,150,100000000,100003200,388105,39867826,40268404,25036.125,24256.562,0.398665503,39892862.125,0.398915856,16049494105963295624,666658,666658,16049494105963295624
4,16,aho_corasick,first,2,1,16,41668,150,100000000,100003200,377093,39814730,40203114,24274.000,23568.312,0.398134560,39839004.000,0.398377292,16049494105963295624,666658,666658,16049494105963295624
4,16,aho_corasick,first,3,1,16,41668,150,100000000,100003200,382775,37263938,37665478,25096.250,23923.438,0.372627456,37289034.250,0.372878410,16049494105963295624,666658,666658,16049494105963295624
4,16,aho_corasick,first,4,1,16,41668,150,100000000,100003200,547752,37188672,37752414,35233.875,34234.500,0.371874820,37223905.875,0.372227147,16049494105963295624,666658,666658,16049494105963295624
4,32,hash,first,0,1,8,83334,150,100000000,100000800,13816,41666700,41684323,2202.875,1727.000,0.416663667,41668902.875,0.416685695,8490852710480701767,666672,666672,8490852710480701767
4,32,hash,first,1,1,8,83334,150,100000000,100000800,13515,39151053,39167604,2068.875,1689.375,0.391507398,39153121.875,0.391528087,8490852710480701767,666672,666672,8490852710480701767
4,32,hash,first,2,1,8,83334,150,100000000,100000800,8005,39816251,39826931,1335.000,1000.625,0.398159325,39817586.000,0.398172675,8490852710480701767,666672,666672,8490852710480701767
