k,patterns,algorithm,mode,status,wall_ms,detail
16,2,aho_corasick,all,ok,2984,""
16,4,bndmq,all,ok,652,""
16,4,aho_corasick,all,ok,1204,""
16,4,hash,all,ok,1354,""
16,8,aho_corasick,all,ok,1203,""
16,8,hash,all,ok,1354,""
16,8,bndmq,all,ok,1103,""
16,16,aho_corasick,all,ok,1179,""
16,16,bndmq,all,ok,2006,""
16,16,hash,all,ok,1380,""
16,32,aho_corasick,all,ok,1229,""
16,32,bndmq,all,ok,3712,""
16,32,hash,all,ok,1379,""
16,64,hash,all,ok,1354,""
16,64,bndmq,all,ok,7273,""
16,64,aho_corasick,all,ok,1255,""
16,128,hash,all,ok,1379,""
16,128,aho_corasick,all,ok,1304,""
16,128,bndmq,all,timed_out,3060,"one matcher-build plus corpus-search iteration took 2928.759 ms"
16,256,bndmq,all,pruned,0,"a smaller pattern count timed out"
16,256,hash,all,ok,1405,""
16,256,aho_corasick,all,ok,1430,""
16,1000,hash,all,ok,1380,""
16,1000,bndmq,all,pruned,0,"a smaller pattern count timed out"
16,1000,aho_corasick,all,ok,2207,""
16,10000,hash,all,ok,1681,""
16,10000,bndmq,all,pruned,0,"a smaller pattern count timed out"
16,10000,aho_corasick,all,ok,4942,""
16,100000,hash,all,ok,3036,""
16,100000,aho_corasick,all,timed_out,3688,"one matcher-build plus corpus-search iteration took 3537.863 ms"
16,100000,bndmq,all,pruned,0,"a smaller pattern count timed out"
16,1000000,aho_corasick,all,pruned,0,"a smaller pattern count timed out"
16,1000000,hash,all,ok,4140,""
16,1000000,bndmq,all,pruned,0,"a smaller pattern count timed out"
20,1,hash,first,ok,802,""
20,1,bndmq,first,ok,250,""
20,1,aho_corasick,first,ok,301,""
20,2,aho_corasick,first,ok,2307,""
20,2,hash,first,ok,827,""
20,2,bndmq,first,ok,326,""
20,4,hash,first,ok,903,""
20,4,bndmq,first,ok,476,""
20,4,aho_corasick,first,ok,953,""
20,8,aho_corasick,first,ok,928,""
20,8,hash,first,ok,1028,""
20,8,bndmq,first,ok,727,""
20,16,bndmq,first,ok,1229,""
20,16,aho_corasick,first,ok,928,""
20,16,hash,first,ok,1028,""
20,32,aho_corasick,first,ok,978,""
20,32,bndmq,first,ok,2307,""
20,32,hash,first,ok,1053,""
20,64,bndmq,first,ok,4314,""
20,64,hash,first,ok,1053,""
20,64,aho_corasick,first,ok,1003,""
20,128,aho_corasick,first,ok,1028,""
20,128,hash,first,ok,1078,""
20,128,bndmq,first,ok,8477,""
20,256,hash,first,ok,1078,""
20,256,aho_corasick,first,ok,1179,""
20,256,bndmq,first,timed_out,3512,"one matcher-build plus corpus-search iteration took 3371.487 ms"
20,1000,hash,first,ok,1078,""
20,1000,bndmq,first,pruned,0,"a smaller pattern count timed out"
20,1000,aho_corasick,first,ok,1631,""
20,10000,hash,first,ok,1279,""
20,10000,aho_corasick,first,ok,4340,""
20,10000,bndmq,first,pruned,0,"a smaller pattern count timed out"
20,100000,hash,first,ok,2484,""
20,100000,bndmq,first,pruned,0,"a smaller pattern count timed out"
20,100000,aho_corasick,first,timed_out,3537,"one matcher-build plus corpus-search iteration took 3371.020 ms"
20,1000000,bndmq,first,pruned,0,"a smaller pattern count timed out"
20,1000000,aho_corasick,first,pruned,0,"a smaller pattern count timed out"
20,1000000,hash,first,ok,3412,""
20,1,bndmq,all,ok,275,""
20,1,aho_corasick,all,ok,451,""
20,1,hash,all,ok,1078,""
20,2,aho_corasick,all,ok,3135,""
20,2,hash,all,ok,1129,""
20,2,bndmq,all,ok,376,""
20,4,bndmq,all,ok,551,""
20,4,aho_corasick,all,ok,1229,""
20,4,hash,all,ok,1204,""
20,8,hash,all,ok,1429,""
20,8,aho_corasick,all,ok,1229,""
20,8,bndmq,all,ok,928,""
20,16,bndmq,all,ok,1580,""
20,16,hash,all,ok,1329,""
20,16,aho_corasick,all,ok,1204,""
20,32,aho_corasick,all,ok,1203,""
20,32,hash,all,ok,1354,""
20,32,bndmq,all,ok,2934,""
20,64,aho_corasick,all,ok,1254,""
20,64,bndmq,all,ok,5743,""
20,64,hash,all,ok,1380,""
20,128,hash,all,ok,1430,""
20,128,aho_corasick,all,ok,1280,""
20,128,bndmq,all,timed_out,2409,"one matcher-build plus corpus-search iteration took 2277.603 ms"
20,256,aho_corasick,all,ok,1429,""
20,256,bndmq,all,pruned,0,"a smaller pattern count timed out"
20,256,hash,all,ok,1329,""
20,1000,hash,all,ok,1405,""
20,1000,bndmq,all,pruned,0,"a smaller pattern count timed out"
20,1000,aho_corasick,all,ok,2308,""
20,10000,bndmq,all,pruned,0,"a smaller pattern count timed out"
20,10000,hash,all,ok,1631,""
20,10000,aho_corasick,all,ok,5570,""
20,100000,aho_corasick,all,timed_out,4266,"one matcher-build plus corpus-search iteration took 4079.590 ms"
20,100000,hash,all,ok,3111,""
20,100000,bndmq,all,pruned,0,"a smaller pattern count timed out"
20,1000000,bndmq,all,pruned,0,"a smaller pattern count timed out"
20,1000000,hash,all,ok,4064,""
20,1000000,aho_corasick,all,pruned,0,"a smaller pattern count timed out"
24,1,hash,first,ok,802,""
24,1,bndmq,first,ok,276,""
24,1,aho_corasick,first,ok,275,""
24,2,aho_corasick,first,ok,2257,""
24,2,hash,first,ok,828,""
24,2,bndmq,first,ok,326,""
24,4,aho_corasick,first,ok,953,""
24,4,hash,first,ok,903,""
24,4,bndmq,first,ok,426,""
24,8,bndmq,first,ok,627,""
24,8,aho_corasick,first,ok,953,""
24,8,hash,first,ok,1003,""
24,16,bndmq,first,ok,1028,""
24,16,hash,first,ok,1003,""
24,16,aho_corasick,first,ok,978,""
24,32,aho_corasick,first,ok,978,""
24,32,bndmq,first,ok,1831,""
24,32,hash,first,ok,978,""
24,64,bndmq,first,ok,3486,""
24,64,aho_corasick,first,ok,1028,""
24,64,hash,first,ok,1078,""
24,128,hash,first,ok,1028,""
24,128,aho_corasick,first,ok,1028,""
24,128,bndmq,first,ok,6922,""
24,256,aho_corasick,first,ok,1304,""
24,256,bndmq,first,timed_out,2809,"one matcher-build plus corpus-search iteration took 2660.069 ms"
24,256,hash,first,ok,1053,""
24,1000,bndmq,first,pruned,0,"a smaller pattern count timed out"
24,1000,aho_corasick,first,ok,1907,""
24,1000,hash,first,ok,1103,""
24,10000,hash,first,ok,1229,""
24,10000,aho_corasick,first,ok,4416,""
24,10000,bndmq,first,pruned,0,"a smaller pattern count timed out"
24,100000,aho_corasick,first,timed_out,4266,"one matcher-build plus corpus-search iteration took 4093.092 ms"
24,100000,bndmq,first,pruned,0,"a smaller pattern count timed out"
24,100000,hash,first,ok,2459,""
24,1000000,bndmq,first,pruned,0,"a smaller pattern count timed out"
24,1000000,aho_corasick,first,pruned,0,"a smaller pattern count timed out"
24,1000000,hash,first,ok,3537,""
24,1,bndmq,all,ok,275,""
24,1,aho_corasick,all,ok,426,""
24,1,hash,all,ok,1129,""
24,2,aho_corasick,all,ok,3035,""
24,2,bndmq,all,ok,401,""
24,2,hash,all,ok,1179,""
24,4,bndmq,all,ok,501,""
24,4,aho_corasick,all,ok,1204,""
24,4,hash,all,ok,1204,""
24,8,aho_corasick,all,ok,1229,""
24,8,hash,all,ok,1329,""
24,8,bndmq,all,ok,777,""
24,16,hash,all,ok,1380,""
24,16,bndmq,all,ok,1329,""
24,16,aho_corasick,all,ok,1229,""
24,32,hash,all,ok,1304,""
24,32,bndmq,all,ok,2458,""
24,32,aho_corasick,all,ok,1254,""
24,64,hash,all,ok,1405,""
