k,patterns,mode,best_algorithm,median_reference_ns_per_base,second_algorithm,margin_pct
40,23,first,aho_corasick,1.665461679,bndmq,5.9702
40,32,all,aho_corasick,2.214539360,hash,0.6619
40,32,first,aho_corasick,1.672500025,hash,4.2473
40,45,first,aho_corasick,1.677591934,hash,18.0319
40,54,first,aho_corasick,1.745728143,hash,84.5729
40,59,first,hash,1.675415611,aho_corasick,5.4846
40,64,all,aho_corasick,2.262680666,hash,0.0093
40,64,first,hash,1.718038043,aho_corasick,3.4810
40,70,first,aho_corasick,1.728173462,hash,1.7834
40,76,first,aho_corasick,1.732941001,hash,7.2027
40,91,all,aho_corasick,2.329365258,hash,25.1429
40,91,first,aho_corasick,1.773590955,hash,21.3365
40,108,all,aho_corasick,2.414120057,hash,186.5832
40,108,first,aho_corasick,1.878720764,hash,180.9321
40,118,all,hash,2.235572999,aho_corasick,7.4801
40,118,first,hash,1.638741177,aho_corasick,16.5390
40,128,all,hash,2.354557496,aho_corasick,2.3578
40,128,first,hash,1.859447511,aho_corasick,6.8543
40,139,all,hash,2.369124692,aho_corasick,4.3272
40,152,all,aho_corasick,2.555466394,hash,6.8656
40,181,all,aho_corasick,2.758022024,hash,27.3011
40,215,all,aho_corasick,2.840139200,hash,152.4526
40,235,all,hash,2.204767630,aho_corasick,32.2095
40,256,all,hash,2.335147260,aho_corasick,30.2344
40,256,first,hash,1.684577871,aho_corasick,45.9889
40,1000,all,hash,2.318887202,aho_corasick,92.6370
40,1000,first,hash,1.749289181,aho_corasick,103.0909
40,10000,all,hash,2.858323083,aho_corasick,312.8500
40,10000,first,hash,2.133301903,aho_corasick,344.2872
40,100000,all,hash,5.198884742,,
40,100000,first,hash,4.107339465,,
40,1000000,all,hash,7.268742443,,
40,1000000,first,hash,6.227504075,,
41,32,first,aho_corasick,1.683393568,hash,3.2944
42,32,all,aho_corasick,2.164367140,hash,4.6585
42,32,first,hash,1.686951783,aho_corasick,1.8724
43,32,all,aho_corasick,2.207792721,hash,1.1453
44,32,all,hash,2.209208254,aho_corasick,0.3120
44,32,first,hash,1.695007380,aho_corasick,1.7160
44,38,all,aho_corasick,2.210468502,hash,7.7636
44,45,all,aho_corasick,2.192392358,hash,22.1655
44,64,all,aho_corasick,2.262225470,hash,0.5602
44,64,first,hash,1.700423517,aho_corasick,2.2958
44,91,all,aho_corasick,2.318304207,hash,28.2271
44,108,all,aho_corasick,2.392718885,hash,87.5434
44,128,all,hash,2.267286750,aho_corasick,13.3847
45,32,all,hash,2.173417494,aho_corasick,2.2017
45,64,all,hash,2.241435439,aho_corasick,1.7756
46,32,all,aho_corasick,2.155149659,hash,1.2132
46,45,all,aho_corasick,2.222871292,hash,10.3172
46,64,all,hash,2.156724289,aho_corasick,5.4943
48,1,all,bndmq,0.269353183,aho_corasick,278.6739
48,1,first,bndmq,0.295108767,aho_corasick,88.0421
48,2,all,bndmq,0.348603451,hash,456.9841
48,2,first,bndmq,0.341486628,hash,314.1897
48,4,all,bndmq,0.503288054,hash,300.6658
48,4,first,bndmq,0.446351112,hash,245.0178
48,8,all,bndmq,0.785395056,aho_corasick,176.2997
48,8,first,bndmq,0.654566159,aho_corasick,160.0410
48,16,all,bndmq,1.297218149,aho_corasick,68.4748
48,16,first,bndmq,1.086328361,hash,50.1162
48,23,all,bndmq,1.828062967,aho_corasick,20.4841
48,23,first,bndmq,1.426880520,aho_corasick,17.9643
48,27,all,bndmq,2.099994662,aho_corasick,4.0567
48,27,first,bndmq,1.668398548,aho_corasick,0.9854
48,29,all,hash,2.138752752,aho_corasick,2.1577
48,29,first,hash,1.603058156,aho_corasick,5.4657
48,32,all,aho_corasick,2.139792259,hash,2.7235
48,32,first,hash,1.705425440,aho_corasick,5.9863
48,45,all,aho_corasick,2.172308007,hash,21.9259
48,54,all,aho_corasick,2.229355139,hash,68.9547
48,59,all,hash,2.183768779,aho_corasick,3.7844
48,64,all,hash,2.226816335,aho_corasick,1.9784
48,64,first,hash,1.687959766,aho_corasick,10.6630
48,128,all,hash,2.277084581,aho_corasick,10.3403
48,128,first,hash,1.809523981,aho_corasick,13.8681
48,256,all,hash,2.307103006,aho_corasick,34.4064
48,256,first,hash,1.638635903,aho_corasick,61.1719
48,1000,all,hash,2.161770246,aho_corasick,99.9078
48,1000,first,hash,1.783305883,aho_corasick,108.3638
48,10000,all,hash,2.568912322,aho_corasick,357.0975
48,10000,first,hash,2.029343811,aho_corasick,396.6905
48,100000,all,hash,5.004574471,,
48,100000,first,hash,3.909564811,,
48,1000000,all,hash,6.760338339,,
48,1000000,first,hash,6.003029304,,
50,32,all,hash,2.165711964,aho_corasick,2.5805
52,32,all,hash,2.130472470,aho_corasick,4.9928
52,32,first,hash,1.622898332,aho_corasick,8.9421
54,32,all,bndmq,1.792650945,hash,18.3711
54,32,first,bndmq,1.442766430,hash,10.1004
56,32,all,bndmq,1.799723723,hash,19.5987
56,32,first,bndmq,1.453291155,hash,9.1835
60,32,first,bndmq,1.464672898,hash,8.6769
62,32,first,bndmq,1.434540160,hash,9.3579
64,1,all,bndmq,0.282012682,aho_corasick,270.7764
64,1,first,bndmq,0.308602501,aho_corasick,64.1490
64,2,all,bndmq,0.334550249,hash,418.0451
64,2,first,bndmq,0.363739662,hash,294.5193
64,4,all,bndmq,0.442010921,hash,321.4404
64,4,first,bndmq,0.440695209,hash,242.4048
64,8,all,bndmq,0.651104102,hash,220.1464
64,8,first,bndmq,0.587194246,hash,170.1214
64,16,all,bndmq,1.041223698,hash,101.6041
64,16,first,bndmq,0.926358932,hash,69.3495
64,23,first,bndmq,1.158373496,aho_corasick,55.4685
64,27,first,bndmq,1.279879248,aho_corasick,38.7595
64,29,first,bndmq,1.324547972,hash,16.7716
64,32,all,bndmq,1.840913194,hash,11.2237
64,32,first,hash,1.596818863,bndmq,0.5051
64,35,all,bndmq,1.929325669,hash,6.4333
64,38,all,hash,2.139988990,aho_corasick,6.8264
64,41,all,aho_corasick,2.186708067,hash,0.4256
64,45,all,aho_corasick,2.232542001,hash,0.9266
64,45,first,hash,1.724401688,aho_corasick,8.5916
64,54,all,aho_corasick,2.319317405,bndmq,22.5342
64,59,all,hash,2.015891511,aho_corasick,14.3067
64,64,all,hash,2.074950073,aho_corasick,13.7681
64,64,first,hash,1.572745311,aho_corasick,21.1319
64,128,all,hash,2.018715718,aho_corasick,31.3689
64,128,first,hash,1.566809171,aho_corasick,40.6116
64,256,all,hash,1.994224612,aho_corasick,105.6471
64,256,first,hash,1.562492825,aho_corasick,74.6531
64,1000,all,hash,2.031625027,aho_corasick,119.0380
64,1000,first,hash,1.545390899,aho_corasick,143.9601
64,10000,all,hash,2.384317001,aho_corasick,460.7558
64,10000,first,hash,1.928856302,aho_corasick,488.7222
64,100000,all,hash,4.641791826,,
64,100000,first,hash,3.568068254,,
64,1000000,all,hash,6.610590359,,
64,1000000,first,hash,5.870684099,,
65,1,all,aho_corasick,1.105097016,hash,49.9112
65,1,first,aho_corasick,0.507169750,hash,162.3651
65,2,all,hash,1.728194224,aho_corasick,200.8713
65,2,first,hash,1.321034593,aho_corasick,211.2245
65,4,all,hash,1.856230674,aho_corasick,14.5654
65,4,first,hash,1.417236340,aho_corasick,25.3149
65,8,all,hash,2.033803183,aho_corasick,8.2908
65,8,first,hash,1.623174881,aho_corasick,12.9492
65,16,all,hash,2.170830527,aho_corasick,7.1245
65,16,first,hash,1.603077192,aho_corasick,19.6946
65,32,all,hash,2.005895543,aho_corasick,11.2317
65,32,first,hash,1.600941425,aho_corasick,23.2211
80,1,all,aho_corasick,1.137579320,hash,45.1858
80,1,first,aho_corasick,0.495652353,hash,167.8658
80,2,all,hash,1.648316060,aho_corasick,206.3225
80,2,first,hash,1.337541693,aho_corasick,215.0597
80,4,all,hash,1.720166003,aho_corasick,22.7990
80,4,first,hash,1.416229510,aho_corasick,24.9072
80,8,all,hash,1.878174648,aho_corasick,9.3494
