k,patterns,mode,region,algorithm,min_bases_inclusive,max_bases_exclusive
48,8,all,0,hash,0.000000,2288.067912
48,8,all,1,bndmq,2288.067912,
48,8,first,0,hash,0.000000,2302.907228
48,8,first,1,bndmq,2302.907228,
48,16,all,0,hash,0.000000,6532.622592
48,16,all,1,bndmq,6532.622592,
48,16,first,0,hash,0.000000,11495.704431
48,16,first,1,bndmq,11495.704431,
48,32,all,0,hash,0.000000,6104980.593171
48,32,all,1,aho_corasick,6104980.593171,
48,32,first,0,hash,0.000000,
48,64,all,0,hash,0.000000,
48,64,first,0,hash,0.000000,
48,128,all,0,hash,0.000000,
48,128,first,0,hash,0.000000,
48,256,all,0,hash,0.000000,
48,256,first,0,hash,0.000000,
48,1000,all,0,hash,0.000000,
48,1000,first,0,hash,0.000000,
48,10000,all,0,hash,0.000000,
48,10000,first,0,hash,0.000000,
48,100000,all,0,hash,0.000000,
48,100000,first,0,hash,0.000000,
48,1000000,all,0,hash,0.000000,
48,1000000,first,0,hash,0.000000,
64,1,all,0,hash,0.000000,285.923063
64,1,all,1,bndmq,285.923063,
64,1,first,0,hash,0.000000,532.982459
64,1,first,1,bndmq,532.982459,
64,2,all,0,hash,0.000000,635.645102
64,2,all,1,bndmq,635.645102,
64,2,first,0,hash,0.000000,893.264906
64,2,first,1,bndmq,893.264906,
64,4,all,0,hash,0.000000,1214.803536
64,4,all,1,bndmq,1214.803536,
64,4,first,0,hash,0.000000,1561.778325
64,4,first,1,bndmq,1561.778325,
64,8,all,0,hash,0.000000,3094.526826
64,8,all,1,bndmq,3094.526826,
64,8,first,0,hash,0.000000,3940.408655
64,8,first,1,bndmq,3940.408655,
64,16,all,0,hash,0.000000,5081.668069
64,16,all,1,bndmq,5081.668069,
64,16,first,0,hash,0.000000,8825.670582
64,16,first,1,bndmq,8825.670582,
64,32,all,0,hash,0.000000,39560.738979
64,32,all,1,bndmq,39560.738979,
64,32,first,0,hash,0.000000,
64,64,all,0,hash,0.000000,
64,64,first,0,hash,0.000000,
64,128,all,0,hash,0.000000,
64,128,first,0,hash,0.000000,
64,256,all,0,hash,0.000000,
64,256,first,0,hash,0.000000,
64,1000,all,0,hash,0.000000,
64,1000,first,0,hash,0.000000,
64,10000,all,0,hash,0.000000,
